,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,Chui,UY,2020-03-15 23:40:37,-33.7,-53.46,100,71,64.0,6.35
1,Bhatkal,IN,2020-03-15 23:40:39,13.97,74.57,9,75,76.05,6.11
2,Pangai,TO,2020-03-15 23:40:41,-19.8,-174.35,90,79,84.2,8.05
3,Camacha,PT,2020-03-15 23:40:43,33.08,-16.33,40,72,62.6,13.87
4,Lompoc,US,2020-03-15 23:41:06,34.64,-120.46,90,81,57.2,10.29
5,Ribeira Grande,PT,2020-03-15 23:41:08,38.52,-28.7,42,82,56.77,8.1
6,Hasaki,JP,2020-03-15 23:41:13,35.73,140.83,75,86,45.0,6.93
7,Atuona,PF,2020-03-15 23:41:15,-9.8,-139.03,5,65,82.42,9.31
8,Sangar,RU,2020-03-15 23:41:17,63.92,127.47,98,82,-1.01,14.52
9,Cape Town,ZA,2020-03-15 23:41:18,-33.93,18.42,20,63,64.4,19.46
10,Nānākuli,US,2020-03-15 23:41:21,21.39,-158.15,90,78,78.8,8.05
11,Karratha,AU,2020-03-15 23:41:23,-20.74,116.85,0,75,84.09,13.51
12,Hilo,US,2020-03-15 23:41:25,19.73,-155.09,90,74,78.8,12.75
13,Seoul,KR,2020-03-15 23:37:04,37.57,126.98,1,58,32.0,2.24
14,Mataura,NZ,2020-03-15 23:41:30,-46.19,168.86,89,85,54.0,11.01
15,Pisco,PE,2020-03-15 23:37:34,-13.7,-76.22,75,30,71.6,18.34
16,Saint-Joseph,RE,2020-03-15 23:41:34,-21.37,55.62,100,69,75.2,11.41
17,Ola,RU,2020-03-15 23:41:36,59.58,151.28,100,66,9.95,13.2
18,Ust'-Uda,RU,2020-03-15 23:41:38,54.17,103.03,78,95,21.79,4.07
19,Polson,US,2020-03-15 23:41:40,47.69,-114.16,1,39,28.99,3.42
20,Rikitea,PF,2020-03-15 23:41:42,-23.12,-134.97,92,81,79.11,12.15
21,Albany,US,2020-03-15 23:37:04,42.6,-73.97,1,47,39.2,12.75
22,Praia,CV,2020-03-15 23:41:49,14.92,-23.51,20,83,71.6,19.46
23,Hermanus,ZA,2020-03-15 23:41:51,-34.42,19.23,24,85,62.01,1.99
24,Katobu,ID,2020-03-15 23:41:53,-4.94,122.53,73,85,80.19,1.88
25,Deputatsky,RU,2020-03-15 23:41:55,69.3,139.9,1,78,-21.37,3.18
26,Shupīyan,IN,2020-03-15 23:41:57,33.72,74.83,9,74,30.6,7.85
27,East London,ZA,2020-03-15 23:41:59,-33.02,27.91,100,71,70.05,11.77
28,Santa Fe,AR,2020-03-15 23:39:26,-31.63,-60.7,99,88,70.0,4.0
29,Cidreira,BR,2020-03-15 23:42:04,-30.18,-50.21,85,91,75.79,8.5
30,Ketchikan,US,2020-03-15 23:42:06,55.34,-131.65,1,52,44.6,16.11
31,Abu Kamal,SY,2020-03-15 23:42:08,34.45,40.92,67,65,60.22,6.33
32,Hobart,AU,2020-03-15 23:40:28,-42.88,147.33,75,58,62.01,4.7
33,Dikson,RU,2020-03-15 23:42:12,73.51,80.55,100,100,-13.11,7.56
34,Kodinsk,RU,2020-03-15 23:42:15,58.69,99.18,72,93,27.55,9.4
35,Lebu,CL,2020-03-15 23:37:45,-37.62,-73.65,0,74,56.95,9.91
36,Yellowknife,CA,2020-03-15 23:42:19,62.46,-114.35,75,48,21.2,24.16
37,Punta Arenas,CL,2020-03-15 23:42:21,-53.15,-70.92,75,72,59.0,16.11
38,Westport,US,2020-03-15 23:42:23,41.14,-73.36,1,16,50.0,10.29
39,Bredasdorp,ZA,2020-03-15 23:42:25,-34.53,20.04,72,68,66.2,12.75
40,Anadyr,RU,2020-03-15 23:42:27,64.75,177.48,20,85,23.0,6.71
41,Port Alfred,ZA,2020-03-15 23:39:01,-33.59,26.89,100,98,62.01,1.01
42,Quatre Cocos,MU,2020-03-15 23:42:32,-20.21,57.76,40,88,73.99,3.36
43,Puerto Ayora,EC,2020-03-15 23:42:34,-0.74,-90.35,20,78,82.4,10.29
44,Ushuaia,AR,2020-03-15 23:41:39,-54.8,-68.3,75,71,55.4,19.46
45,Lagoa,PT,2020-03-15 23:42:38,39.05,-27.98,0,79,60.71,9.53
46,Vaini,TO,2020-03-15 23:42:40,-21.2,-175.2,90,79,86.0,13.87
