,Name,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,1,US,1584273579,83,19.73,-155.09,71.6,4.697574
1,Avarua,51,CK,1584273583,100,-21.21,-159.78,75.2,2.23694
2,Xiongzhou,26,CN,1584273356,56,25.12,114.3,60.38600000000007,2.1027236
3,Rikitea,0,PF,1584273587,71,-23.12,-134.97,77.84600000000005,5.927891
4,Hermanus,26,ZA,1584273589,90,-34.42,19.23,71.99600000000005,8.008245200000001
5,Kapaa,90,US,1584273591,83,22.08,-159.32,69.8,5.816044000000001
6,Cockburn Town,2,TC,1584273593,77,21.46,-71.14,74.96600000000001,20.468001
7,Yulara,0,AU,1584273596,17,-25.24,130.99,89.6,9.171454
8,Ransang,77,PH,1584273598,80,8.96,117.58,80.708,13.309793
9,Huambo,75,AO,1584273600,88,-12.78,15.74,69.8,5.816044000000001
10,Peace River,5,CA,1584273602,63,56.25,-117.29,-9.003999999999948,5.816044000000001
11,Pisco,100,PE,1584273604,83,-13.7,-76.22,71.6,6.934514000000001
12,Mataura,99,NZ,1584273607,94,-46.19,168.86,55.99400000000007,1.006623
13,Deer Lake,90,CA,1584273389,79,49.17,-57.43,26.6,12.750558000000002
14,Korla,80,CN,1584273612,34,41.76,86.15,39.68600000000007,2.4382646000000006
15,Ushuaia,75,AR,1584273507,62,-54.8,-68.3,55.4,9.171454
16,Krasnoborsk,59,RU,1584273616,61,61.56,45.93,24.74600000000005,6.934514000000001
17,Yellowknife,90,CA,1584273618,92,62.46,-114.35,15.8,9.171454
18,East London,20,ZA,1584273622,69,-33.02,27.91,77.0,16.105968
19,Albany,75,US,1584273483,75,42.6,-73.97,33.998000000000026,8.052984
20,Wajir,56,KE,1584273629,38,1.75,40.06,96.00800000000001,12.258431200000002
21,Hithadhoo,95,MV,1584273631,56,-0.6,73.08,84.308,3.4672570000000005
22,Noumea,100,NC,1584273633,58,-22.28,166.46,86.0,35.567346
23,Russell,20,US,1584273602,93,32.35,-85.2,62.99600000000005,4.7199434
24,Cape Town,20,ZA,1584273362,60,-33.93,18.42,73.00400000000005,27.514362000000002
25,Nelson Bay,90,AU,1584273641,77,-32.72,152.15,68.0,9.171454
26,Irtyshskiy,100,RU,1584273644,97,58.33,68.13,32.66600000000001,9.8201666
27,Mwingi,38,KE,1584273646,56,-0.93,38.06,83.408,7.202946800000001
28,Tomakomai,75,JP,1584273648,54,42.64,141.6,33.8,2.23694
29,Saint Paul Harbor,1,US,1584273650,85,57.79,-152.41,19.4,6.934514000000001
30,Andenes,40,NO,1584273652,60,69.31,16.12,32.0,12.750558000000002
31,Barrow,1,US,1584273654,76,71.29,-156.79,-9.399999999999949,10.289924
32,Lebu,0,CL,1584273656,67,-37.62,-73.65,52.28600000000007,8.4556332
33,Hobart,75,AU,1584273605,58,-42.88,147.33,55.4,8.052984
34,Vestmanna,96,FO,1584273661,67,62.16,-7.17,32.0,25.277422000000005
35,Bluff,100,NZ,1584273663,94,-46.6,168.33,55.99400000000007,1.006623
36,Mar del Plata,40,AR,1584273369,93,-38.0,-57.56,64.99400000000007,13.309793
37,Varkala,20,IN,1584273667,62,8.73,76.71,87.8,9.171454
38,Alofi,100,NU,1584273669,94,-19.06,-169.92,77.0,1.11847
39,Saint-Philippe,100,RE,1584273671,70,-21.36,55.77,84.2,21.922012000000002
40,New Norfolk,75,AU,1584273673,58,-42.78,147.06,55.4,8.052984
41,Qaanaaq,100,GL,1584273675,58,77.48,-69.36,-16.83399999999994,3.7580592
42,Bundaberg,40,AU,1584273678,68,-24.85,152.35,73.00400000000005,10.289924
43,Bintulu,75,MY,1584273680,83,3.17,113.03,82.4,6.934514000000001
44,Amga,100,RU,1584273682,96,60.9,131.96,0.08600000000001984,4.0041226000000005
45,Cranbrook,20,CA,1584273603,77,49.5,-115.77,6.800000000000001,2.125093
46,Sorong,100,ID,1584273686,97,-0.88,131.25,72.80600000000003,2.0356154
47,Arrondissement de Lons-le-Saunier,37,FR,1584273688,50,46.75,5.75,60.998000000000026,8.052984
48,Portland,75,US,1584273550,55,45.52,-122.68,35.99600000000005,25.277422000000005
49,Atuona,58,PF,1584273692,68,-9.8,-139.03,81.80600000000003,9.2609316
50,Port Hardy,20,CA,1584273602,47,50.7,-127.42,33.8,16.105968
51,Vaini,75,TO,1584273697,94,-21.2,-175.2,80.6,6.934514000000001
52,Huarmey,100,PE,1584273699,81,-10.07,-78.15,71.18600000000006,2.572481
53,Namwala,92,ZM,1584273701,59,-15.75,26.44,83.066,4.026492
54,Esperance,40,AU,1584273703,54,-33.87,121.9,80.6,6.934514000000001
55,Kaitangata,100,NZ,1584273710,82,-46.28,169.85,57.992,8.4108944
56,Nouadhibou,0,MR,1584273712,53,20.93,-17.03,71.6,26.395892000000003
57,Clyde River,20,CA,1584273714,66,70.47,-68.59,-30.999999999999957,2.23694
58,Belmopan,36,BZ,1584273718,93,17.25,-88.77,77.0,1.9237684000000002
59,Yendi,88,GH,1584273720,19,9.44,-0.01,104.84600000000005,4.3172942
60,Tuatapere,91,NZ,1584273723,94,-46.13,167.68,55.99400000000007,1.006623
61,Nanortalik,100,GL,1584273725,76,60.14,-45.24,23.84600000000005,10.3570322
62,Ilulissat,20,GL,1584273431,47,69.22,-51.1,-11.199999999999946,3.35541
63,Punta Arenas,100,CL,1584273729,76,-53.15,-70.92,55.4,24.158952000000003
64,Port Hedland,11,AU,1584273732,74,-20.32,118.57,86.0,10.289924
65,Wuzhou,86,CN,1584273734,59,23.48,111.32,70.28600000000007,1.9237684000000002
66,Paka,40,MY,1584273736,83,4.64,103.44,84.2,6.934514000000001
67,Ribeira Grande,75,PT,1584273738,77,38.52,-28.7,62.6,3.35541
68,Atasū,86,KZ,1584273741,88,48.68,71.64,36.266000000000005,10.849159
69,Thompson,5,CA,1584273602,75,55.74,-97.86,-14.799999999999947,2.23694
70,Yangambi,100,CD,1584273745,66,0.81,24.43,83.066,4.4067718000000005
71,Mount Isa,0,AU,1584273747,30,-20.73,139.5,84.2,12.750558000000002
72,Jan Kempdorp,0,ZA,1584273749,17,-27.92,24.83,90.80600000000003,5.569980600000001
73,San Patricio,17,MX,1584273751,84,19.22,-104.7,75.86600000000001,2.572481
74,Norman Wells,90,CA,1584273753,86,65.28,-126.83,28.4,12.750558000000002
75,Tabou,100,CI,1584273755,93,4.42,-7.35,77.48600000000008,5.9502604
76,Kavieng,100,PG,1584273758,70,-2.57,150.8,85.40600000000003,5.2120702
77,Cayenne,90,GF,1584273604,74,4.93,-52.33,82.4,8.052984
78,Torbay,90,CA,1584273762,74,47.67,-52.73,30.991999999999997,21.922012000000002
79,Katsuura,40,JP,1584273764,71,35.13,140.3,51.998000000000026,11.408394
80,Fare,1,PF,1584273766,77,-16.7,-151.02,82.50800000000001,11.967629
81,Saskylakh,100,RU,1584273768,90,71.92,114.08,22.208000000000006,10.6702038
82,Havøysund,20,NO,1584273770,54,71.0,24.66,28.4,28.856526000000002
83,Busselton,45,AU,1584273772,89,-33.65,115.33,68.0,8.4108944
84,Tiksi,64,RU,1584273775,79,71.69,128.87,-9.093999999999973,11.9452596
85,Temerloh,97,MY,1584273606,88,3.45,102.42,77.48600000000008,1.006623
86,Bredasdorp,100,ZA,1584273779,63,-34.53,20.04,66.2,16.105968
87,Gazimurskiy Zavod,0,RU,1584273781,89,51.55,118.33,11.408000000000005,5.9726298
88,Shimoda,33,JP,1584273783,66,34.67,138.95,50.0,1.9908766000000002
89,Péta,20,GR,1584273785,77,39.17,21.03,68.0,11.408394
90,Shirokiy,39,RU,1584273787,93,49.76,129.52,6.206000000000028,4.608096400000001
91,Hong Kong,20,HK,1584273558,68,22.29,114.16,71.00600000000003,11.408394
92,San Vicente,19,AR,1584273791,48,-26.62,-54.13,80.00600000000003,3.7804286
93,Aleksandrov Gay,76,RU,1584273794,36,50.15,48.57,47.408,23.2194372
94,Cascais,20,PT,1584273796,63,38.7,-9.42,62.99600000000005,20.803542000000004
95,Carnarvon,40,AU,1584273798,74,-24.87,113.63,78.8,9.171454
96,Dwārka,55,IN,1584273800,41,22.24,68.97,81.80600000000003,16.9112664
97,Morón,100,AR,1584273802,93,-34.65,-58.62,62.99600000000005,5.816044000000001
98,Teya,96,RU,1584273804,87,60.38,92.63,30.14600000000005,9.5964726
99,Tuktoyaktuk,98,CA,1584273807,89,69.45,-133.04,0.08600000000001984,21.8996426
100,São Gabriel da Cachoeira,100,BR,1584273809,90,-0.13,-67.09,75.68600000000006,0.559235
101,Moose Factory,90,CA,1584273811,83,51.26,-80.61,-14.799999999999947,5.816044000000001
102,Brae,42,GB,1584273813,86,60.4,-1.35,44.6,20.803542000000004
103,Cherskiy,100,RU,1584273815,96,68.75,161.3,3.3080000000000034,4.8988986
104,Dikson,100,RU,1584273817,98,73.51,80.55,-6.39399999999997,5.1002232
105,Bambous Virieux,40,MU,1584273819,70,-20.34,57.76,84.2,6.934514000000001
106,Hervey Bay,40,AU,1584273821,68,-25.3,152.85,73.00400000000005,10.289924
107,Sirsa,21,IN,1584273665,36,29.53,75.02,74.066,7.6503348
108,Butaritari,63,KI,1584273828,79,3.07,172.79,83.96600000000001,16.7323112
109,Poum,100,NC,1584273830,79,-20.23,164.02,83.408,34.4041372
110,Tulum,5,MX,1584273821,94,20.22,-87.47,75.99199999999999,4.697574
111,Kāmāreddi,61,IN,1584273834,26,18.32,78.35,90.608,7.8516594
112,Presidencia Roque Sáenz Peña,100,AR,1584273836,89,-26.79,-60.44,74.78600000000007,7.2924244
113,Egvekinot,82,RU,1584273838,89,66.32,-179.17,6.908000000000005,6.7331894
114,Cidreira,42,BR,1584273841,71,-30.18,-50.21,75.14600000000004,5.301547800000001
