,Name,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bulalacao,8,PH,1584230865,80,12.33,121.34,298.9,5.02
1,Ahipara,0,NZ,1584230867,68,-35.17,173.17,292.52,3.83
2,Codrington,47,AU,1584230869,71,-38.27,141.97,288.15,6.79
3,Cockburn Town,0,TC,1584230787,78,21.46,-71.14,297.8,8.99
4,Cam Ranh,40,VN,1584230875,88,11.92,109.16,300.15,3.1
5,Mataura,100,NZ,1584230877,73,-46.19,168.86,290.37,1.79
6,Longyearbyen,90,SJ,1584230550,77,78.22,15.64,255.15,3.1
7,Provideniya,78,RU,1584230882,79,64.38,-173.3,268.27,2.81
8,Hof,1,DE,1584230884,100,50.32,11.92,274.82,5.1
9,Itatiaia,25,BR,1584230886,97,-22.5,-44.56,292.96,1.64
10,Atuona,21,PF,1584230874,72,-9.8,-139.03,300.95,4.87
11,Bend,90,US,1584230890,92,44.06,-121.32,272.15,4.1
12,Bredasdorp,83,ZA,1584230833,82,-34.53,20.04,292.15,4.6
13,Tual,100,ID,1584230894,77,-5.67,132.75,300.67,4.07
14,Ushuaia,40,AR,1584230846,58,-54.8,-68.3,285.15,1.5
15,Ust-Maya,100,RU,1584230899,96,60.42,134.53,252.15,1.09
16,Rome,90,US,1584230764,64,43.21,-75.46,276.15,3.6
17,Hasaki,20,JP,1584230903,70,35.73,140.83,279.26,3.6
18,Thompson,20,CA,1584230907,39,55.74,-97.86,261.15,1.5
19,Hong Kong,10,HK,1584230353,52,22.29,114.16,293.15,4.6
20,Arraial do Cabo,20,BR,1584230829,94,-22.97,-42.03,297.15,1.5
21,Khovd,0,MN,1584230916,41,48.01,91.64,265.83,3.38
22,Dikson,51,RU,1584230891,99,73.51,80.55,245.22,3.76
23,Örnsköldsvik,41,SE,1584230923,58,63.29,18.72,271.15,4.1
24,Albany,90,US,1584230848,51,42.6,-73.97,278.15,7.2
25,San Cristobal,40,VE,1584230927,65,7.77,-72.22,301.15,2.1
26,Tasiilaq,0,GL,1584230826,64,65.61,-37.64,256.15,3.1
27,Castro,0,BR,1584230807,67,-24.79,-50.01,291.15,0.92
28,Port Hardy,5,CA,1584230934,32,50.7,-127.42,278.15,6.2
29,Bluff,100,NZ,1584230936,73,-46.6,168.33,290.37,1.79
30,Salalah,51,OM,1584230938,53,17.02,54.09,298.15,5.1
31,Pevek,77,RU,1584230940,69,69.7,170.31,255.0,2.97
32,Kon Tum,98,VN,1584230713,84,14.35,108.0,291.38,1.37
33,Tuktoyaktuk,75,CA,1584230946,85,69.45,-133.04,268.15,14.4
34,Padang,67,ID,1584230933,92,-0.95,100.35,293.92,2.08
35,Torbay,20,CA,1584230797,84,47.67,-52.73,274.82,11.8
36,Qaanaaq,0,GL,1584230955,58,77.48,-69.36,243.81,2.57
37,Fortuna,40,US,1584230957,81,40.6,-124.16,282.59,3.1
38,São Félix do Xingu,100,BR,1584230959,95,-6.64,-51.99,296.65,0.9
39,Cape Town,75,ZA,1584230390,82,-33.93,18.42,292.04,8.7
40,Lerwick,100,GB,1584230964,87,60.15,-1.15,280.15,10.8
41,Nuuk,63,GL,1584230725,55,64.18,-51.72,259.15,8.2
42,Butaritari,88,KI,1584230937,72,3.07,172.79,301.83,4.81
43,Iringa,100,TZ,1584230625,95,-7.77,35.7,287.11,1.08
44,Fort Dodge,90,US,1584230973,71,42.5,-94.17,273.15,5.1
45,Dmitriyevka,90,RU,1584230975,98,54.75,55.33,273.15,7.0
46,Hilo,75,US,1584230977,74,19.73,-155.09,299.15,3.6
47,Nanortalik,100,GL,1584230952,73,60.14,-45.24,267.01,1.12
48,Cooma,0,AU,1584230982,75,-36.23,149.13,280.15,2.6
